type,start_time,ambient_temperature,battery_id,test_id,uid,filename,Capacity,cycle_number,cap_base,capacity_rel,meta_group_id,meta_current,meta_rated_cap,meta_cutoff,SoH_Global,RUL,Re,Rct,re_base,rct_base,Re_rel,Rct_rel,resistance_ratio,rct_roll_std,ts_duration,ts_v_drop,ts_ohmic_drop,ts_time_to_35v,ts_dvdt_mid,ts_ica_peak,ts_relax_slope,ts_relax_recovery,ts_v_std,voltage_drop_roll_mean,early_cap_mean,early_rct_mean,early_ohmic_mean
discharge,[2010.       7.      21.      15.       0.      35.093],4,B0047,0,1,00001.csv,1.6743047446975208,1,1.5314888429652374,1.0932529821475985,4,1,2.0,2.5,83.71523723487604,9.0,0.053191858509211,0.1647339991486473,0.053191858509211,0.1647339991486473,1.0,1.0,3.096977691052495,0.0,6155.829,1.5686651512385605,0.16072298182871148,3052.594,-9.060153156294458e-05,13134.57241582972,-0.00014253180118518693,-0.917354769554362,0.28114365761631843,0.0,1.480254602992035,0.16806467725081237,0.191706086617073
discharge,[2.0100e+03 7.0000e+00 2.1000e+01 2.1000e+01 2.0000e+00 5.6984e+01],4,B0047,4,5,00005.csv,1.5243662105099025,2,1.5314888429652374,0.9953492103530156,4,1,2.0,2.5,76.21831052549513,8.0,0.053191858509211,0.1647339991486473,0.053191858509211,0.1647339991486473,1.0,1.0,3.096977691052495,0.0,5586.235,1.523518278651201,0.19882006892599424,2881.266,-0.00010048397637342848,13155.070532046553,0.0,0.0,0.2673743162443795,1.5460917149448807,1.480254602992035,0.16806467725081237,0.191706086617073
discharge,[2.010e+03 7.000e+00 2.200e+01 1.000e+00 4.000e+01 6.218e+00],4,B0047,6,7,00007.csv,1.5080762969973425,3,1.5314888429652374,0.9847125585828206,4,1,2.0,2.5,75.40381484986712,7.0,0.053191858509211,0.1647339991486473,0.053191858509211,0.1647339991486473,1.0,1.0,3.096977691052495,0.0,5526.797,1.5510237331012733,0.17826639341324846,2805.562,-0.00010943337009148753,13115.995811597637,0.0,0.0,0.273366976947371,1.5477357209970115,1.480254602992035,0.16806467725081237,0.191706086617073
discharge,[2010.       7.      22.       6.      16.      21.781],4,B0047,8,9,00009.csv,1.4835577960067696,4,1.5314888429652374,0.9687029734636103,4,1,2.0,2.5,74.17788980033848,6.0,0.053191858509211,0.1647339991486473,0.053191858509211,0.1647339991486473,1.0,1.0,3.096977691052495,0.0,5452.235,1.5460245734579314,0.18851762599466682,2628.032,-0.00011609505948234778,13121.521580519058,0.0,0.0,0.2733628866728752,1.5473079341122415,1.480254602992035,0.16806467725081237,0.191706086617073
discharge,[2010.       7.      22.      10.      51.      48.203],4,B0047,10,11,00011.csv,1.4671391666146525,5,1.5314888429652374,0.9579822754529558,4,1,2.0,2.5,73.35695833073262,5.0,0.053191858509211,0.1647339991486473,0.053191858509211,0.1647339991486473,1.0,1.0,3.096977691052495,0.0,5393.641,1.5466540285550923,0.1875808532508989,2526.704,-0.00011933130533298458,13279.16602910196,0.0,0.0,0.2778458951994344,1.5471771530008116,1.480254602992035,0.16806467725081237,0.191706086617073
discharge,[2010.       7.      22.      15.      26.      29.359],4,B0047,12,13,00013.csv,1.448858156982267,6,1.5314888429652374,0.946045518801833,4,1,2.0,2.5,72.44290784911335,4.0,0.053191858509211,0.1647339991486473,0.053191858509211,0.1647339991486473,1.0,1.0,3.096977691052495,0.0,5328.047,1.5419670613459813,0.18798465835066747,2453.828,-0.00012171915262831811,13237.024327183753,0.0,0.0,0.27669688735984027,1.541837535022296,1.480254602992035,0.16806467725081237,0.191706086617073
discharge,[2010.       7.      23.       9.      59.       8.718],4,B0047,16,17,00017.csv,1.4458534180949325,7,1.5314888429652374,0.9440835463714516,4,1,2.0,2.5,72.29267090474663,3.0,0.0551250536162427,0.1754882075917004,0.053191858509211,0.1647339991486473,1.0363438157870897,1.0652822641266,3.1834564518227055,0.00406470872680994,5317.937,1.4838703128687984,0.23200081295008657,2527.734,-0.00011752764511563419,13245.761361953671,0.0,0.0,0.2731370533423643,1.5339079418658152,1.480254602992035,0.16806467725081237,0.191706086617073
discharge,[2010.       7.      23.      15.      44.      51.671],4,B0047,20,21,00021.csv,1.431118266178283,8,1.5314888429652374,0.9344620907635091,4,1,2.0,2.5,71.55591330891416,2.0,0.0528128215980842,0.1722515233415132,0.053191858509211,0.1647339991486473,0.9928741555239856,1.0456343209763423,3.2615474449060993,0.004316647881618077,5279.219,1.512207416192882,0.2047578335401572,2388.469,-0.000124183146390129,13268.844951987106,-0.00015184626538140635,-0.8303047937258299,0.2806093211112655,1.526144678484137,1.480254602992035,0.16806467725081237,0.191706086617073
discharge,[2010.       7.      23.      20.      19.       2.359],4,B0047,22,23,00023.csv,1.419274551657853,9,1.5314888429652374,0.9267286263149542,4,1,2.0,2.5,70.96372758289266,1.0,0.0528128215980842,0.1722515233415132,0.053191858509211,0.1647339991486473,0.9928741555239856,1.0456343209763423,3.2615474449060993,0.004559818577917544,5208.547,1.510346752583831,0.19134988379180928,2447.266,-0.00012383574406017386,13272.863899376012,-0.0001515430608632284,-0.8200445107715484,0.2777960905918899,1.519009114309317,1.480254602992035,0.16806467725081237,0.191706086617073
discharge,[2010.       7.      24.       0.      52.      14.625],4,B0047,24,25,00025.csv,1.3999974221808271,10,1.5314888429652374,0.9141414438711684,4,1,2.0,2.5,69.99987110904135,0.0,0.0528128215980842,0.1722515233415132,0.053191858509211,0.1647339991486473,0.9928741555239856,1.0456343209763423,3.2615474449060993,0.004575162783280142,5152.906,1.5144286716075905,0.1870597541244896,2304.985,-0.00012952638104759745,13389.558367937356,-0.0001501298731200759,-0.8061528302326209,0.28369697306515507,1.5125640429198166,1.480254602992035,0.16806467725081237,0.191706086617073
